"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P3,P1";"PHOENIX_MSTBA2,54-G_10";2;"CONN_01X10";;;
2;"G***,G***";"LOGO";2;"LOGO";;;
3;"PAnalog1";"PHOENIX_MSTBA2,54-G_3";1;"CONN_01X03";;;
4;"P2";"PHOENIX_MSTBA2,54-G_4";1;"CONN_01X04";;;
5;"Ref**";"PHOENIX_MSTBA2,54-G_2";1;"Val**";;;
6;"P13";"PHOENIX_MSTBA2,54-G_3";1;"AUX";;;
7;"R8,R8,R10,R11,R12";"R3";5;"4k7";;;
8;"C1";"Capacitor5x11RM2.5";1;"10 uF";;;
9;"C2,C9";"Capacitor3MMDiscRM2.5";2;"0,1 uF";;;
10;"C5";"Capacitor10x16RM5";1;"470 uF";;;
11;"C6";"Capacitor3MMDiscRM2.5";1;"0.33 uF";;;
12;"C7";"Capacitor3MMDiscRM2.5";1;"0.1 uF";;;
13;"C8";"Capacitor3MMDiscRM2.5";1;"0.01 uF";;;
14;"D1";"PUSH_BUTT_SHAPE1";1;"BRIDGE";;;
15;"D2,D3,D4,D5,D6,D7,D15,D16,D18,D19,D20";"LED-3MM";11;"LED";;;
16;"IC1,IC2,IC4,IC5,IC6";"DIP-6__300_ELL";5;"4N25";;;
17;"JP1,JP2";"PINHEAD1-2";2;"JUMPER";;;
18;"K1,K2,K3,K4,K5,K6";"Relay_SANYOU_SRD_Series_Form_C";6;"RELAY";;;
19;"P9";"Pin_Header_Straight_2x03";1;"BDM";;;
20;"R1,R2,R4,R5,R6,R14,R15,R16,R17,R18,R19";"R3";11;"2k2";;;
21;"R13";"R3";1;"10K";;;
22;"U1";"DIP-20__300_ELL";1;"MC9S08SH8";;;
23;"U2";"TO92-123";1;"78L05";;;
24;"U3";"DIP-16__300_ELL";1;"ULN2003";;;
25;"1PIN,1PIN,1PIN,1PIN";"1pin";4;"P***";;;
